"X_STATE","IMONTH","mean_mental","State"
46,"12",2.93604651162791,"South Dakota"
47,"01",3.40506329113924,"Tennessee"
47,"02",4.03727506426735,"Tennessee"
47,"03",4.11086474501109,"Tennessee"
47,"04",5.06813627254509,"Tennessee"
47,"05",5.01609657947686,"Tennessee"
47,"06",4.23741007194245,"Tennessee"
47,"07",3.88125,"Tennessee"
47,"08",4.90419161676647,"Tennessee"
47,"09",4.09824561403509,"Tennessee"
47,"10",3.9875,"Tennessee"
47,"11",4.3801652892562,"Tennessee"
47,"12",4.43601895734597,"Tennessee"
48,"01",2.93346007604563,"Texas"
48,"02",3.70156438026474,"Texas"
48,"03",3.21489971346705,"Texas"
48,"04",3.95438175270108,"Texas"
48,"05",3.85322359396433,"Texas"
48,"06",3.53333333333333,"Texas"
48,"07",3.29634641407307,"Texas"
48,"08",3.42083333333333,"Texas"
48,"09",3.77694235588972,"Texas"
48,"10",3.83870967741935,"Texas"
48,"11",3.91845878136201,"Texas"
48,"12",3.33526011560694,"Texas"
49,"01",2.38297872340426,"Utah"
49,"02",3.08713692946058,"Utah"
49,"03",3.17080152671756,"Utah"
49,"04",4.06459330143541,"Utah"
49,"05",3.59603469640644,"Utah"
49,"06",3.83188720173536,"Utah"
49,"07",3.53065539112051,"Utah"
49,"08",3.8271954674221,"Utah"
49,"09",4.23630672926448,"Utah"
49,"10",3.464,"Utah"
49,"11",3.15089514066496,"Utah"
49,"12",3.61038961038961,"Utah"
50,"01",3.7886323268206,"Vermont"
50,"02",3.45876288659794,"Vermont"
50,"03",3.64510489510489,"Vermont"
50,"04",3.41990291262136,"Vermont"
50,"05",3.39637305699482,"Vermont"
50,"06",3.52328767123288,"Vermont"
50,"07",3.09309309309309,"Vermont"
50,"08",3.37444933920705,"Vermont"
50,"09",3.73745173745174,"Vermont"
50,"10",4.15348837209302,"Vermont"
50,"11",3.6951871657754,"Vermont"
50,"12",4.59902200488998,"Vermont"
51,"01",4.48888888888889,"Virginia"
51,"02",3.78996865203762,"Virginia"
51,"03",2.99493670886076,"Virginia"
51,"04",3.64071856287425,"Virginia"
51,"05",3.36386138613861,"Virginia"
51,"06",3.72796352583587,"Virginia"
51,"07",3.08720379146919,"Virginia"
51,"08",3.47310513447433,"Virginia"
51,"09",3.26441102756892,"Virginia"
51,"10",3.11979166666667,"Virginia"
51,"11",3.33232169954476,"Virginia"
51,"12",3.48286140089419,"Virginia"
53,"01",3.85594795539033,"Washington"
53,"02",3.41086065573771,"Washington"
53,"03",3.4940119760479,"Washington"
53,"04",3.92609489051095,"Washington"
53,"05",3.30194174757282,"Washington"
53,"06",3.91373801916933,"Washington"
53,"07",3.22443181818182,"Washington"
53,"08",3.96788482834994,"Washington"
53,"09",3.48387096774194,"Washington"
53,"10",4.16539440203562,"Washington"
53,"11",3.51241830065359,"Washington"
53,"12",4.0561122244489,"Washington"
54,"01",4.35348837209302,"West Virginia"
54,"02",5.14125560538117,"West Virginia"
54,"03",4.45353982300885,"West Virginia"
54,"04",4.76795580110497,"West Virginia"
54,"05",4.77410468319559,"West Virginia"
54,"06",5.69914040114613,"West Virginia"
54,"07",4.80691642651297,"West Virginia"
54,"08",5.21022727272727,"West Virginia"
